,Full path,Coordinates
60,.\DataBase\Runway 1\06160.jpg,"['153', '168', '162', '157', '105', '105', '89', '89']"
61,.\DataBase\Runway 1\06161.jpg,"['153', '168', '163', '158', '105', '105', '89', '88']"
62,.\DataBase\Runway 1\06162.jpg,"['153', '167', '163', '158', '105', '105', '88', '88']"
63,.\DataBase\Runway 1\06163.jpg,"['154', '167', '163', '157', '104', '105', '89', '89']"
64,.\DataBase\Runway 1\06164.jpg,"['154', '167', '163', '157', '104', '105', '88', '88']"
65,.\DataBase\Runway 1\06165.jpg,"['154', '168', '163', '157', '104', '105', '89', '89']"
66,.\DataBase\Runway 1\06166.jpg,"['153', '167', '164', '158', '105', '105', '88', '88']"
67,.\DataBase\Runway 1\06167.jpg,"['153', '168', '163', '157', '105', '105', '88', '88']"
68,.\DataBase\Runway 1\06168.jpg,"['153', '168', '164', '158', '105', '105', '89', '89']"
69,.\DataBase\Runway 1\06169.jpg,"['153', '168', '163', '158', '105', '105', '88', '89']"
70,.\DataBase\Runway 1\06170.jpg,"['153', '168', '163', '158', '105', '105', '88', '88']"
71,.\DataBase\Runway 1\06171.jpg,"['153', '168', '164', '158', '105', '106', '89', '89']"
72,.\DataBase\Runway 1\06172.jpg,"['153', '168', '164', '159', '105', '105', '89', '89']"
73,.\DataBase\Runway 1\06173.jpg,"['153', '168', '163', '159', '105', '105', '89', '89']"
74,.\DataBase\Runway 1\06174.jpg,"['153', '169', '163', '159', '106', '106', '89', '89']"
75,.\DataBase\Runway 1\06175.jpg,"['153', '169', '163', '159', '106', '106', '89', '89']"
76,.\DataBase\Runway 1\06176.jpg,"['153', '169', '163', '159', '106', '106', '89', '89']"
77,.\DataBase\Runway 1\06177.jpg,"['153', '169', '163', '159', '106', '106', '89', '89']"
78,.\DataBase\Runway 1\06178.jpg,"['153', '169', '163', '159', '107', '107', '90', '90']"
79,.\DataBase\Runway 1\06179.jpg,"['153', '169', '163', '159', '106', '106', '89', '89']"
80,.\DataBase\Runway 1\06180.jpg,"['153', '169', '163', '160', '106', '106', '90', '90']"
81,.\DataBase\Runway 1\06181.jpg,"['153', '169', '163', '159', '106', '106', '89', '89']"
82,.\DataBase\Runway 1\06182.jpg,"['154', '169', '164', '159', '106', '106', '89', '89']"
83,.\DataBase\Runway 1\06183.jpg,"['154', '169', '164', '160', '106', '106', '90', '89']"
84,.\DataBase\Runway 1\06184.jpg,"['154', '169', '164', '160', '106', '106', '89', '90']"
85,.\DataBase\Runway 1\06185.jpg,"['154', '169', '164', '160', '106', '106', '90', '90']"
86,.\DataBase\Runway 1\06186.jpg,"['155', '170', '164', '159', '106', '106', '89', '89']"
87,.\DataBase\Runway 1\06187.jpg,"['154', '169', '164', '160', '106', '107', '90', '90']"
88,.\DataBase\Runway 1\06188.jpg,"['154', '169', '165', '160', '107', '106', '90', '90']"
89,.\DataBase\Runway 1\06189.jpg,"['154', '170', '164', '160', '106', '106', '90', '90']"
90,.\DataBase\Runway 1\06190.jpg,"['154', '170', '166', '161', '107', '107', '90', '90']"
91,.\DataBase\Runway 1\06191.jpg,"['155', '170', '165', '160', '107', '106', '90', '91']"
92,.\DataBase\Runway 1\06192.jpg,"['155', '171', '165', '160', '107', '107', '90', '90']"
93,.\DataBase\Runway 1\06193.jpg,"['155', '171', '165', '160', '107', '107', '90', '90']"
94,.\DataBase\Runway 1\06194.jpg,"['155', '170', '165', '161', '106', '106', '90', '91']"
95,.\DataBase\Runway 1\06195.jpg,"['154', '171', '166', '161', '107', '107', '90', '89']"
96,.\DataBase\Runway 1\06196.jpg,"['155', '171', '166', '160', '107', '107', '90', '90']"
97,.\DataBase\Runway 1\06197.jpg,"['155', '171', '165', '160', '107', '106', '90', '90']"
98,.\DataBase\Runway 1\06198.jpg,"['155', '170', '166', '161', '106', '107', '90', '90']"
99,.\DataBase\Runway 1\06199.jpg,"['156', '171', '165', '161', '106', '107', '90', '90']"
100,.\DataBase\Runway 1\06200.jpg,"['156', '171', '166', '161', '107', '107', '90', '90']"
101,.\DataBase\Runway 2\05600.jpg,"['161', '175', '171', '167', '98', '99', '80', '80']"
102,.\DataBase\Runway 2\05601.jpg,"['161', '175', '171', '167', '98', '99', '80', '80']"
103,.\DataBase\Runway 2\05602.jpg,"['161', '175', '170', '167', '99', '99', '81', '81']"
104,.\DataBase\Runway 2\05603.jpg,"['160', '177', '171', '167', '98', '98', '81', '80']"
105,.\DataBase\Runway 2\05604.jpg,"['161', '176', '171', '167', '98', '98', '81', '81']"
106,.\DataBase\Runway 2\05605.jpg,"['161', '177', '172', '168', '99', '99', '82', '82']"
107,.\DataBase\Runway 2\05606.jpg,"['160', '176', '172', '167', '98', '99', '81', '81']"
108,.\DataBase\Runway 2\05607.jpg,"['159', '177', '172', '167', '98', '99', '82', '82']"
109,.\DataBase\Runway 2\05608.jpg,"['161', '177', '172', '168', '99', '100', '81', '81']"
110,.\DataBase\Runway 2\05609.jpg,"['160', '176', '171', '168', '99', '100', '81', '82']"
111,.\DataBase\Runway 2\05610.jpg,"['161', '177', '172', '167', '99', '100', '82', '82']"
112,.\DataBase\Runway 2\05611.jpg,"['161', '177', '172', '168', '100', '100', '82', '82']"
113,.\DataBase\Runway 2\05612.jpg,"['160', '176', '172', '168', '99', '100', '82', '82']"
114,.\DataBase\Runway 2\05613.jpg,"['161', '176', '172', '169', '100', '100', '82', '82']"
115,.\DataBase\Runway 2\05614.jpg,"['162', '177', '172', '168', '99', '100', '82', '82']"
116,.\DataBase\Runway 2\05615.jpg,"['161', '176', '172', '168', '100', '100', '83', '83']"
117,.\DataBase\Runway 2\05616.jpg,"['161', '176', '172', '168', '100', '101', '82', '82']"
118,.\DataBase\Runway 2\05617.jpg,"['162', '176', '172', '168', '100', '101', '82', '82']"
119,.\DataBase\Runway 2\05618.jpg,"['162', '176', '173', '168', '100', '101', '83', '83']"
120,.\DataBase\Runway 2\05619.jpg,"['162', '177', '173', '169', '100', '101', '83', '83']"
121,.\DataBase\Runway 2\05620.jpg,"['162', '177', '173', '168', '100', '101', '83', '82']"
122,.\DataBase\Runway 2\05621.jpg,"['161', '177', '172', '168', '101', '101', '83', '83']"
123,.\DataBase\Runway 2\05622.jpg,"['161', '176', '172', '168', '101', '102', '84', '83']"
124,.\DataBase\Runway 2\05623.jpg,"['162', '178', '173', '168', '102', '102', '84', '84']"
125,.\DataBase\Runway 2\05624.jpg,"['162', '176', '172', '169', '101', '102', '84', '84']"
126,.\DataBase\Runway 2\05625.jpg,"['162', '177', '173', '169', '101', '102', '84', '84']"
127,.\DataBase\Runway 2\05626.jpg,"['162', '177', '172', '168', '101', '102', '84', '84']"
128,.\DataBase\Runway 2\05627.jpg,"['163', '177', '173', '169', '101', '102', '85', '85']"
129,.\DataBase\Runway 2\05628.jpg,"['162', '177', '173', '168', '102', '103', '84', '85']"
130,.\DataBase\Runway 2\05629.jpg,"['162', '177', '173', '168', '102', '103', '85', '85']"
131,.\DataBase\Runway 2\05630.jpg,"['162', '177', '173', '169', '103', '104', '85', '85']"
132,.\DataBase\Runway 2\05631.jpg,"['163', '178', '172', '169', '103', '104', '85', '85']"
133,.\DataBase\Runway 2\05632.jpg,"['163', '178', '172', '169', '103', '104', '85', '86']"
134,.\DataBase\Runway 2\05633.jpg,"['162', '178', '173', '169', '103', '105', '86', '86']"
135,.\DataBase\Runway 2\05634.jpg,"['162', '178', '173', '169', '104', '104', '87', '86']"
136,.\DataBase\Runway 2\05635.jpg,"['163', '178', '173', '169', '104', '104', '87', '87']"
137,.\DataBase\Runway 2\05636.jpg,"['163', '177', '173', '169', '104', '104', '87', '87']"
138,.\DataBase\Runway 2\05637.jpg,"['162', '178', '172', '168', '104', '105', '87', '87']"
139,.\DataBase\Runway 2\05638.jpg,"['162', '178', '173', '169', '104', '106', '88', '88']"
140,.\DataBase\Runway 2\05639.jpg,"['162', '179', '173', '169', '105', '105', '88', '88']"
141,.\DataBase\Runway 2\05640.jpg,"['162', '178', '173', '169', '105', '105', '88', '88']"
142,.\DataBase\Runway 2\05641.jpg,"['162', '178', '174', '169', '104', '105', '88', '88']"
143,.\DataBase\Runway 2\05642.jpg,"['163', '178', '173', '169', '105', '106', '88', '88']"
144,.\DataBase\Runway 2\05643.jpg,"['163', '177', '174', '169', '105', '106', '87', '88']"
145,.\DataBase\Runway 2\05644.jpg,"['163', '178', '173', '170', '106', '106', '88', '88']"
146,.\DataBase\Runway 2\05645.jpg,"['163', '178', '174', '169', '106', '107', '88', '88']"
147,.\DataBase\Runway 2\05646.jpg,"['162', '179', '174', '170', '106', '107', '88', '88']"
148,.\DataBase\Runway 2\05647.jpg,"['163', '178', '174', '169', '106', '107', '88', '88']"
149,.\DataBase\Runway 2\05648.jpg,"['162', '178', '174', '169', '106', '108', '89', '89']"
150,.\DataBase\Runway 2\05649.jpg,"['163', '178', '174', '169', '106', '108', '89', '89']"
151,.\DataBase\Runway 2\05650.jpg,"['163', '178', '175', '170', '107', '108', '90', '89']"
152,.\DataBase\Runway 2\05651.jpg,"['163', '179', '175', '170', '107', '109', '90', '90']"
153,.\DataBase\Runway 2\05652.jpg,"['163', '179', '175', '171', '108', '109', '90', '90']"
154,.\DataBase\Runway 2\05653.jpg,"['163', '179', '175', '169', '108', '109', '90', '90']"
155,.\DataBase\Runway 2\05654.jpg,"['163', '179', '175', '170', '107', '109', '90', '90']"
156,.\DataBase\Runway 2\05655.jpg,"['163', '180', '175', '170', '108', '110', '91', '90']"
157,.\DataBase\Runway 2\05656.jpg,"['162', '179', '175', '171', '107', '110', '91', '90']"
158,.\DataBase\Runway 2\05657.jpg,"['164', '179', '176', '170', '109', '110', '90', '90']"
159,.\DataBase\Runway 2\05658.jpg,"['162', '180', '176', '171', '109', '111', '91', '91']"
160,.\DataBase\Runway 2\05659.jpg,"['164', '180', '176', '170', '108', '110', '91', '91']"
161,.\DataBase\Runway 2\05660.jpg,"['164', '180', '175', '170', '108', '109', '91', '91']"
162,.\DataBase\Runway 2\05661.jpg,"['163', '180', '175', '170', '109', '110', '91', '92']"
163,.\DataBase\Runway 2\05662.jpg,"['162', '179', '176', '170', '109', '111', '91', '91']"
164,.\DataBase\Runway 2\05663.jpg,"['163', '180', '175', '170', '109', '111', '92', '91']"
165,.\DataBase\Runway 2\05664.jpg,"['163', '182', '175', '171', '109', '111', '92', '92']"
166,.\DataBase\Runway 2\05665.jpg,"['163', '180', '176', '171', '109', '111', '91', '91']"
167,.\DataBase\Runway 2\05666.jpg,"['163', '180', '176', '171', '109', '111', '92', '91']"
168,.\DataBase\Runway 2\05667.jpg,"['163', '180', '176', '171', '109', '111', '92', '92']"
169,.\DataBase\Runway 2\05668.jpg,"['163', '181', '175', '171', '109', '111', '91', '91']"
170,.\DataBase\Runway 2\05669.jpg,"['164', '181', '176', '171', '110', '111', '92', '92']"
171,.\DataBase\Runway 2\05670.jpg,"['164', '180', '176', '171', '110', '110', '92', '91']"
172,.\DataBase\Runway 2\05671.jpg,"['164', '180', '176', '171', '109', '112', '92', '92']"
173,.\DataBase\Runway 2\05672.jpg,"['163', '180', '176', '172', '109', '110', '92', '91']"
174,.\DataBase\Runway 2\05673.jpg,"['163', '179', '176', '171', '109', '111', '93', '93']"
175,.\DataBase\Runway 2\05674.jpg,"['162', '180', '176', '171', '109', '111', '92', '92']"
176,.\DataBase\Runway 2\05675.jpg,"['163', '181', '176', '171', '110', '112', '93', '93']"
177,.\DataBase\Runway 2\05676.jpg,"['163', '181', '176', '171', '109', '111', '92', '92']"
178,.\DataBase\Runway 2\05677.jpg,"['164', '180', '176', '171', '110', '111', '92', '92']"
179,.\DataBase\Runway 2\05678.jpg,"['163', '181', '176', '171', '109', '112', '92', '92']"
180,.\DataBase\Runway 2\05679.jpg,"['163', '181', '176', '171', '109', '111', '93', '92']"
181,.\DataBase\Runway 2\05680.jpg,"['163', '181', '176', '172', '109', '112', '91', '92']"
182,.\DataBase\Runway 2\05681.jpg,"['163', '182', '176', '172', '110', '111', '92', '92']"
183,.\DataBase\Runway 2\05682.jpg,"['163', '182', '177', '172', '109', '111', '91', '91']"
184,.\DataBase\Runway 2\05683.jpg,"['163', '182', '176', '172', '109', '112', '91', '91']"
185,.\DataBase\Runway 2\05684.jpg,"['163', '182', '177', '172', '110', '112', '92', '92']"
186,.\DataBase\Runway 2\05685.jpg,"['164', '182', '177', '172', '110', '112', '92', '91']"
187,.\DataBase\Runway 2\05686.jpg,"['163', '182', '176', '172', '109', '111', '91', '91']"
188,.\DataBase\Runway 2\05687.jpg,"['164', '182', '176', '172', '109', '111', '91', '91']"
189,.\DataBase\Runway 2\05688.jpg,"['163', '182', '176', '172', '110', '111', '92', '91']"
190,.\DataBase\Runway 2\05689.jpg,"['163', '183', '177', '172', '110', '111', '91', '90']"
191,.\DataBase\Runway 2\05690.jpg,"['163', '183', '176', '172', '109', '111', '91', '91']"
192,.\DataBase\Runway 2\05691.jpg,"['163', '184', '177', '172', '109', '110', '90', '90']"
193,.\DataBase\Runway 2\05692.jpg,"['164', '182', '177', '172', '110', '111', '91', '91']"
194,.\DataBase\Runway 2\05693.jpg,"['164', '183', '177', '172', '109', '108', '91', '91']"
195,.\DataBase\Runway 2\05694.jpg,"['164', '183', '176', '172', '109', '110', '91', '91']"
196,.\DataBase\Runway 2\05695.jpg,"['164', '182', '176', '171', '110', '110', '90', '90']"
197,.\DataBase\Runway 2\05696.jpg,"['163', '182', '177', '172', '109', '110', '90', '90']"
198,.\DataBase\Runway 2\05697.jpg,"['163', '182', '176', '172', '110', '110', '91', '90']"
199,.\DataBase\Runway 2\05698.jpg,"['164', '184', '176', '172', '110', '111', '91', '91']"
200,.\DataBase\Runway 2\05699.jpg,"['163', '183', '177', '173', '110', '110', '90', '91']"
201,.\DataBase\Runway 2\05700.jpg,"['165', '182', '177', '173', '109', '110', '90', '90']"
202,.\DataBase\Runway 3\06000.jpg,"['157', '166', '165', '160', '85', '85', '71', '71']"
203,.\DataBase\Runway 3\06001.jpg,"['158', '167', '164', '161', '85', '85', '71', '71']"
204,.\DataBase\Runway 3\06002.jpg,"['157', '168', '164', '161', '85', '85', '71', '71']"
205,.\DataBase\Runway 3\06003.jpg,"['158', '167', '165', '161', '85', '85', '71', '71']"
206,.\DataBase\Runway 3\06004.jpg,"['157', '167', '165', '161', '85', '85', '72', '72']"
207,.\DataBase\Runway 3\06005.jpg,"['157', '166', '165', '162', '84', '84', '71', '71']"
208,.\DataBase\Runway 3\06006.jpg,"['158', '167', '164', '161', '85', '85', '72', '72']"
209,.\DataBase\Runway 3\06007.jpg,"['157', '166', '165', '161', '85', '85', '71', '71']"
210,.\DataBase\Runway 3\06008.jpg,"['157', '166', '165', '161', '85', '85', '71', '71']"
211,.\DataBase\Runway 3\06009.jpg,"['157', '167', '165', '160', '85', '86', '71', '71']"
212,.\DataBase\Runway 3\06010.jpg,"['158', '167', '165', '162', '85', '85', '71', '71']"
213,.\DataBase\Runway 3\06011.jpg,"['158', '166', '164', '160', '84', '84', '71', '71']"
214,.\DataBase\Runway 3\06012.jpg,"['157', '166', '165', '160', '85', '85', '71', '71']"
215,.\DataBase\Runway 3\06013.jpg,"['157', '166', '165', '161', '85', '85', '72', '72']"
216,.\DataBase\Runway 3\06014.jpg,"['157', '167', '165', '160', '85', '85', '70', '70']"
217,.\DataBase\Runway 3\06015.jpg,"['157', '166', '165', '161', '85', '85', '71', '71']"
218,.\DataBase\Runway 3\06016.jpg,"['157', '167', '165', '161', '85', '85', '71', '71']"
219,.\DataBase\Runway 3\06017.jpg,"['156', '166', '165', '160', '85', '85', '70', '70']"
220,.\DataBase\Runway 3\06018.jpg,"['156', '166', '165', '160', '85', '85', '70', '70']"
221,.\DataBase\Runway 3\06019.jpg,"['156', '167', '164', '161', '85', '85', '71', '71']"
222,.\DataBase\Runway 3\06020.jpg,"['156', '166', '164', '160', '85', '85', '70', '70']"
223,.\DataBase\Runway 3\06021.jpg,"['157', '167', '164', '159', '84', '84', '71', '71']"
224,.\DataBase\Runway 3\06022.jpg,"['156', '167', '165', '160', '85', '85', '71', '71']"
225,.\DataBase\Runway 3\06023.jpg,"['156', '166', '164', '158', '85', '85', '71', '71']"
226,.\DataBase\Runway 3\06024.jpg,"['156', '167', '164', '159', '85', '85', '71', '71']"
227,.\DataBase\Runway 3\06025.jpg,"['156', '167', '164', '160', '86', '85', '70', '70']"
228,.\DataBase\Runway 3\06026.jpg,"['156', '166', '164', '160', '85', '85', '71', '71']"
229,.\DataBase\Runway 3\06027.jpg,"['156', '167', '164', '159', '86', '85', '71', '71']"
230,.\DataBase\Runway 3\06028.jpg,"['156', '166', '164', '159', '85', '85', '70', '70']"
231,.\DataBase\Runway 3\06029.jpg,"['156', '166', '165', '160', '86', '85', '72', '72']"
232,.\DataBase\Runway 3\06030.jpg,"['156', '166', '164', '160', '84', '85', '71', '71']"
233,.\DataBase\Runway 3\06031.jpg,"['156', '167', '164', '159', '86', '85', '71', '72']"
234,.\DataBase\Runway 3\06032.jpg,"['156', '167', '165', '160', '86', '86', '71', '71']"
235,.\DataBase\Runway 3\06033.jpg,"['156', '166', '164', '159', '86', '85', '72', '72']"
236,.\DataBase\Runway 3\06034.jpg,"['155', '167', '164', '160', '85', '85', '72', '72']"
237,.\DataBase\Runway 3\06035.jpg,"['156', '166', '164', '160', '85', '85', '72', '72']"
238,.\DataBase\Runway 3\06036.jpg,"['156', '167', '164', '160', '86', '85', '71', '71']"
239,.\DataBase\Runway 3\06037.jpg,"['156', '165', '163', '159', '85', '85', '73', '73']"
240,.\DataBase\Runway 3\06038.jpg,"['155', '166', '164', '159', '85', '85', '72', '72']"
241,.\DataBase\Runway 3\06039.jpg,"['156', '166', '164', '159', '86', '85', '72', '72']"
242,.\DataBase\Runway 3\06040.jpg,"['156', '166', '164', '159', '86', '86', '72', '72']"
243,.\DataBase\Runway 3\06041.jpg,"['156', '166', '164', '159', '86', '86', '72', '72']"
244,.\DataBase\Runway 3\06042.jpg,"['156', '166', '164', '159', '86', '86', '72', '72']"
245,.\DataBase\Runway 3\06043.jpg,"['156', '166', '164', '158', '86', '86', '72', '72']"
246,.\DataBase\Runway 3\06044.jpg,"['155', '166', '164', '159', '86', '86', '72', '72']"
247,.\DataBase\Runway 3\06045.jpg,"['155', '166', '164', '160', '86', '86', '72', '72']"
248,.\DataBase\Runway 3\06046.jpg,"['155', '166', '164', '159', '86', '86', '72', '72']"
249,.\DataBase\Runway 3\06047.jpg,"['155', '166', '164', '159', '87', '87', '72', '72']"
250,.\DataBase\Runway 3\06048.jpg,"['155', '166', '164', '159', '87', '86', '72', '72']"
251,.\DataBase\Runway 3\06049.jpg,"['156', '166', '163', '158', '87', '87', '72', '72']"
252,.\DataBase\Runway 3\06050.jpg,"['155', '165', '163', '159', '87', '88', '72', '72']"
253,.\DataBase\Runway 3\06051.jpg,"['156', '165', '164', '159', '87', '87', '72', '72']"
254,.\DataBase\Runway 3\06052.jpg,"['155', '166', '164', '158', '87', '87', '72', '72']"
255,.\DataBase\Runway 3\06053.jpg,"['155', '164', '163', '158', '88', '88', '72', '72']"
256,.\DataBase\Runway 3\06054.jpg,"['155', '165', '163', '159', '87', '88', '72', '72']"
257,.\DataBase\Runway 3\06055.jpg,"['155', '165', '163', '158', '87', '87', '73', '74']"
258,.\DataBase\Runway 3\06056.jpg,"['155', '165', '164', '159', '88', '88', '74', '74']"
259,.\DataBase\Runway 3\06057.jpg,"['154', '165', '163', '157', '88', '88', '74', '75']"
260,.\DataBase\Runway 3\06058.jpg,"['155', '166', '163', '157', '89', '89', '73', '73']"
261,.\DataBase\Runway 3\06059.jpg,"['155', '165', '164', '159', '89', '88', '74', '74']"
262,.\DataBase\Runway 3\06060.jpg,"['155', '165', '164', '158', '89', '89', '74', '74']"
263,.\DataBase\Runway 3\06061.jpg,"['154', '166', '163', '158', '88', '88', '74', '74']"
264,.\DataBase\Runway 3\06062.jpg,"['154', '164', '162', '158', '88', '88', '74', '74']"
265,.\DataBase\Runway 3\06063.jpg,"['154', '164', '163', '158', '89', '89', '74', '74']"
266,.\DataBase\Runway 3\06064.jpg,"['154', '164', '163', '158', '90', '90', '74', '74']"
267,.\DataBase\Runway 3\06065.jpg,"['154', '165', '163', '158', '90', '90', '75', '75']"
268,.\DataBase\Runway 3\06066.jpg,"['154', '165', '163', '158', '90', '90', '74', '74']"
269,.\DataBase\Runway 3\06067.jpg,"['154', '166', '163', '158', '90', '90', '74', '74']"
270,.\DataBase\Runway 3\06068.jpg,"['154', '164', '163', '158', '90', '90', '76', '76']"
271,.\DataBase\Runway 3\06069.jpg,"['154', '165', '163', '158', '90', '90', '76', '76']"
272,.\DataBase\Runway 3\06070.jpg,"['154', '165', '163', '158', '90', '90', '76', '76']"
273,.\DataBase\Runway 3\06071.jpg,"['154', '165', '163', '158', '90', '90', '76', '76']"
274,.\DataBase\Runway 3\06072.jpg,"['154', '165', '163', '158', '90', '90', '76', '76']"
275,.\DataBase\Runway 3\06073.jpg,"['154', '165', '163', '157', '91', '90', '76', '76']"
276,.\DataBase\Runway 3\06074.jpg,"['153', '166', '162', '157', '91', '91', '76', '76']"
277,.\DataBase\Runway 3\06075.jpg,"['153', '165', '162', '157', '90', '91', '76', '76']"
278,.\DataBase\Runway 3\06076.jpg,"['153', '164', '162', '156', '91', '90', '76', '76']"
279,.\DataBase\Runway 3\06077.jpg,"['154', '165', '163', '158', '91', '92', '76', '76']"
280,.\DataBase\Runway 3\06078.jpg,"['153', '166', '163', '157', '92', '92', '78', '79']"
281,.\DataBase\Runway 3\06079.jpg,"['153', '165', '162', '156', '91', '91', '76', '77']"
282,.\DataBase\Runway 3\06080.jpg,"['152', '166', '162', '157', '92', '92', '77', '77']"
283,.\DataBase\Runway 3\06081.jpg,"['154', '165', '162', '157', '92', '92', '77', '77']"
284,.\DataBase\Runway 3\06082.jpg,"['152', '164', '162', '156', '93', '93', '78', '78']"
